app_label,type,model,visit,name,verbose_name,datatype,max_length,null,blank,editable,encrypt,choices,default,vaidators,skip_logic,help_text,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,who_primary_event,Defining Event/Illness of WHO Staging,text,,,,,,"Adults/Adolescents:
Asymptomatic
Persistent generalized lymphadenopathy (PGL)
Moderate unexplained weight loss (<10% of presumed or measured body weight)
Recurrent respiratory tract infections (RTIs, sinusitis, bronchitis, otitis media, pharyngitis)
Herpes zoster
Angular cheilitis
Recurrent oral ulcerations
Papular pruritic eruptions
Seborrhoeic dermatitis
Fungal nail infections of fingers
Severe weight loss (>10% of presumed or measured body weight)
Unexplained chronic diarrhoea for longer than one month
Unexplained persistent fever (intermittent or constant for longer than one month)
Oral candidiasis
Oral hairy leukoplakia
Pulmonary tuberculosis (TB) diagnosed in last two years
Severe presumed bacterial infections (e.g. pneumonia, empyema, pyomyositis, bone or
 joint infection, meningitis, bacteraemia)
Acute necrotizing ulcerative stomatitis, gingivitis or periodontitis
Unexplained anaemia (<8 g/dl), and or neutropenia (<500/mm3) and or
 thrombocytopenia (<50 000/ mm3) for more than one month
HIV wasting syndrome
Pneumocystis pneumonia
Recurrent severe or radiological bacterial pneumonia
Chronic herpes simplex infection (orolabial, genital or anorectal of more than one month_s
 duration)
Oesophageal candidiasis
Extrapulmonary TB
Kaposi_s sarcoma
Central nervous system (CNS) toxoplasmosis
HIV encephalopathy
Conditions where confirmatory diagnostic testing is necessary:
Extrapulmonary cryptococcosis including meningitis
Disseminated non-tuberculous mycobacteria infection
Progressive multifocal leukoencephalopathy (PML)
Candida of trachea, bronchi or lungs
Cryptosporidiosis
Isosporiasis
Visceral herpes simplex infection
Cytomegalovirus (CMV) infection (retinitis or of an organ other than liver, spleen or lymph nodes)
Any disseminated mycosis (e.g. histoplasmosis, coccidiomycosis, penicilliosis)
Recurrent non-typhoidal salmonella septicaemia
Lymphoma (cerebral or B cell non-Hodgkin)
Invasive cervical carcinoma
Visceral leishmaniasis
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,tb,History of TB,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,tb_type,Type of TB,text_choice,,,,,,"Pulmonary TB
Non-pulmonary TB",,,display field only if History of TB=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,tb_method,Method of TB diagnosis,text_choice,,,,,,"Culture Positive
CXR
Other Imaging Modality
Clinical Diagnosis
Other (describe)",,,display field only if History of TB=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,tb_method_other,Method of TB diagnosis: Other,text,,,,,,,,,display field only if Method of TB Diagnosis= OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,io_history,History of non-TB Opportunistic Infections,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,oi_history_table,Opportunistic Infection History,table,,,,,,"Table Fields: Opportunistic Infection + Date
Dropdown options for Opportunistic Infections: 
Candidiasis of bronchi, trachea, esophagus, or lungs
Invasive cervical cancer
Coccidioidomycosis
Cryptococcosis
Cryptosporidiosis, chronic intestinal (greater than 1 month's duration)
Cytomegalovirus disease (particularly CMV retinitis)
Encephalopathy, HIV-related
Herpes simplex: chronic ulcer(s) (greater than 1 month's duration); or bronchitis, pneumonitis, or esophagitis
Histoplasmosis
Isosporiasis, chronic intestinal (greater than 1 month's duration)
Kaposi's sarcoma
Lymphoma, multiple forms
Mycobacterium avium complex
Tuberculosis
Pneumocystis jiroveci pneumonia (PJP)
Pneumonia, recurrent
Progressive multifocal leukoencephalopathy
Salmonella septicemia, recurrent
Toxoplasmosis of brain
Wasting syndrome due to HIV
",,,display field only if History of non-TB OI's=YES,,"table with drop down menu for choices  of OI and ""+"" option to add rows for different infections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,perinatal_infection,Is this an individual who was perinatally infected? (Dx. Prior to 10 years of age),text_choice,,,,,,"Yes
No
Unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,pmtct,Did the mother of the individual receive antiretrovirals during pregnancy?,text_choice,,,,,,"Yes
No
Unknown",,,display field only if perinatally infected= YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,pmtct_rx,Please specify type of antiretrovirals received during pregnancy: ,text_choice,,,,,,"AZT Monotherapy
dsNVP
triple ARV",,,display field only if antiretrovirals in pregnancy=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,infant_prohylaxis,Did the individual receive infant prophylaxis in the 1st month of life?,text_choice,,,,,,"Yes
No
Unknown",,,display field only if perinatally infected = YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,infant_prohylaxis_rx,Please specify type of infant prophylaxis in the 1st month of life ,text_choice,,,,,,"sdNVP
AZT
Extended NVP",,,display field only if infant prophylaxis=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,arv_history_table,Prior History of ARV Treatments: ,table,,,,,,"Antiretroviral Name (Consider adding drop down menu of ARVs--all of them??--GET IT FROM THE TEAM!!)
Start Date
Stop Date
Switch Reason (if Applicable)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,counseling,Did this person receive adherence counseling?,text_choice,,,,,,"Yes
No
Unable to Ascertain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,counseling_date,Date of Adherence Counseling,date,,,,,,,,,display field only if adherence counseling= YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,adherence_partner_rel,Relationship of Adherence Partner to Individual,text_choice,,,,,,"Mother
Father
Grandmother
Grandfather
Aunt
Uncle
Partner or Spouse
Sister
Brother
Friend
Legal Guardian
Other (describe)
Unable to Ascertain",,,display field only if adherence counseling= YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Treatment,,adherence_partner_rel_other,"Please describe  ""Other"" relationship",text ,,,,,,,,,display field only if relationship to adherence parter= OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Appointment,,appt_datetime,Date of Scheduled Clinic Visit,date,,,,,,,,error if date entered is before the initial clinic visit OR any previous visits entered into the system,,Please enter date that the patient was scheduled to come in at their last visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Appointment,,appt_status,Did the Patient Attend this Clinic Visit?,text_choice,,,,,,"Yes
No Show
Missing Clinic Visit Data",,,,"please check ""yes"" if clinic visit was attended at all, even if it was on a different date than the scheduled date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Visit,,visit_datetime,Date of Attended Clinic Visit,,,,,,,,,error if date entered is before the initial clinic visit OR any previous visits entered into the system,,Please enter the date the patient actually attended their clinic visit. This might be the same or different from the one listed above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,height_measured,Was height measured at this clinic visit?,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,height,Height at Current Clinic Visit,number,,,,,,,,height must _ 100 cm but _ 244 cm,display field only if patient if patient is under the age of 19 OR if they are an adult  and do not have a previous height recorded. (adults only need one height for the study),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,weight_measured,Was weight measured at this clinic visit?,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,weight,Weight at Current Clinic Visit,number,,,,,,,,weight must be _ 20 kg but _ 136 kg,display field only if patient is under the age of 19 OR if they are an adult  and do not have a previous height recorded. (adults only need one height for the study),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hospitalized,Has the patient been hospitalized since last visit?,text_choice,,,,,,"Yes
No
Unable to Ascertain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hospitalized_date,What was the date of the hospitalization?,date,,,,,,,,error if date entered is before the last recorded visit,display field only if hospitalization=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hospitalized_reason,What was the reason for the hospitalization?,text,,,,,,,,,display field only  if hospitalization=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,arv_table,ARV Treatments: ,table,,,,,,"Antiretroviral Name
Start Date
Stop Date
Switch Reason (if Applicable)",,,,Please enter all ARV regimens since last visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,tb,Has the patient been diagnosed with TB since the last visit?,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,tb_type,Type of TB,text_choice,,,,,,"Pulmonary TB
Non-pulmonary TB",,,display field only if TB since last visit=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,tb_method,Method of TB diagnosis,text_choice,,,,,,"Culture Positive
CXR
Other Imaging Modality
Clinical Diagnosis
Other (describe)",,,display field only if TB since last visit=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,tb_method_other,Method of TB diagnosis: Other,text,,,,,,,,,display field only if Method of TB Diagnosis= OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,io_history,Non-TB Opportunistic Infections since last visit,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,io_history_table,Opportunistic Infections Since last visit,table,,,,,,"Description
Date",,,display field only if non-TB OI since last visit=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,ctx,Has this patient used Cotrimoxazole /Dapsone Prophylaxis since last visit?,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,ctx_table,Cotrimoxazole /Dapsone Prophylaxis details:,table,,,,,,"Prophylactic medication (text_choice--> Cotrimoxazole or Dapsone)
Start Date
End Date
Indication",,,display field only if Clotrimoxazole/Dapsone Prophylaxis=YES,Please check the box to indicate whether the patient received Clotrimoxazole or Dapsone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,pregnant_and_rx,Has this patient been pregnant while on treatment?,text_choice,,,,,,"Yes
No",,,display field only  if sex= FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,pregnant_and_rx_table,Details of pregnancies while on treatment,table,,,,,,"Date of First Clinical Documentation of Pregnancy
Date of Delivery",,,display field only if pregnancy= YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hiv_status_aware,Is there evidence that disclosure has been made to the youth/adolescent that they are HIV-infected?,text_choice,,,,,,"Yes
No
Unable to Ascertain",,,display field only if age _19(ASK LIZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hiv_status_aware_date,Date of disclosure,date,,,,,,,,,show if disclosure=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hiv_disclosed_others,Is there evidence that the individual has disclosed their HIV status to others?,text_choice,,,,,,"Yes
No
Unable to Ascertain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,hiv_caregiver_disclosed_others,"For youth and adolescents, is there evidence that the caregiver has disclosed their HIV status to others?",text_choice,,,,,,"Yes
No
Unable to Ascertain",,,display field only if age _19(ASK LIZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,transferred,Transfer of Care,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,transferred_table,Transfer of Care Details,table,,,,,,"Date of Transfer
Reason for Transfer",,,show if transfer of care=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,transferred_to,Location of transfer,text_choice,,,,,,"Into IDCC
Out of IDCC
Into Private Clinic
Out of Private Clinic
Into BIPAI
Out of BIPAI
Other (Describe)",,,show if transfer of care=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,transferred_to_other,Location of transfer: Other,text,,,,,,,,,show if location of transfer= OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,deceased,Is there documentation of mortality on the patient's chart?,text_choice,,,,,,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,death_date,Date of Death,date,,,,,,,,,show if mortality=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Abstraction,subject_visit,death_cause,Cause of Death,text,,,,,,,,,display field only if mortality=YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
